fips,state,year,race,ent,perm,nperm,stock,invest,pop,ent_rate,perm_rate,nperm_rate,stock_rate,invest_rate,ent_rate_adj,stock_rate_adj,invest_rate_adj
19,Iowa,2000,aapi,51,45,2,44,,11496,4.43632567849687,1022.72727272727,45.4545454545455,3.82741823242867,,4.1665798810632,3.60091773291097,
19,Iowa,2000,aian,80,73,4,106,,3021,26.4812975835816,688.679245283019,37.7358490566038,35.0877192982456,,25.4637994025164,34.8602460384977,
19,Iowa,2000,hispanic,233,208,14,204,,33075,7.04459561602419,1019.60784313725,68.6274509803922,6.16780045351474,,7.07983065209299,6.64517078580798,
20,Kansas,2000,total,3191,1555,233,6569,,713887,4.46989509544228,236.717917491247,35.469630080682,9.20173640926365,,4.13835476847933,8.79574282665257,
20,Kansas,2000,white,2316,1134,167,4481,,559819,4.13705143984038,253.06851149297,37.2684668600759,8.00437284193641,,3.83685580020026,7.57884241374131,
20,Kansas,2000,black,579,262,38,1431,,56459,10.2552294585451,183.088749126485,26.554856743536,25.3458261747463,,9.29458829686052,24.6635945578025,
20,Kansas,2000,aapi,15,9,2,26,,14250,1.05263157894737,346.153846153846,76.9230769230769,1.82456140350877,,0.902320562905191,1.66928012491278,
20,Kansas,2000,aian,23,24,13,61,,8508,2.70333803479079,393.44262295082,213.114754098361,7.16972261401034,,2.39474642763981,7.02054116319407,
20,Kansas,2000,hispanic,121,82,7,353,,74851,1.61654486914002,232.294617563739,19.8300283286119,4.71603585790437,,1.69680864019134,4.84144290178986,
21,Kentucky,2000,total,4128,2923,287,6017,,994984,4.14881043313259,485.790260927373,47.698188466013,6.04733342445708,,3.82955150966455,5.77717515568271,
21,Kentucky,2000,white,3155,2131,214,4330,,869874,3.62696206577045,492.147806004619,49.4226327944573,4.9777324072222,,3.39311205633679,4.73841400823428,
21,Kentucky,2000,black,607,521,49,1254,,95486,6.35695285172695,415.470494417863,39.0749601275917,13.1328152818214,,5.68502434943702,12.7617322347394,
21,Kentucky,2000,aapi,9,7,1,6,,8558,1.05164758121056,1166.66666666667,166.666666666667,0.701098387473709,,1.14400501398282,0.756329997896215,
21,Kentucky,2000,aian,11,10,0,5,,1986,5.53877139979859,2000,0,2.51762336354481,,5.59232192425513,2.67659249874355,
21,Kentucky,2000,hispanic,28,12,0,51,,19080,1.46750524109015,235.294117647059,0,2.67295597484277,,1.42770316813499,2.68588265930893,
22,Louisiana,2000,total,3157,2371,775,5406,,1217670,2.59265646685884,438.5867554569,143.359230484647,4.43962649979058,,2.42973717110314,4.39643193482975,
